Business Name,Product or Service,City,State,Phone Number,Website
Seaview Farm,"Meat, Fresh Organic Produce",Rockport,MA,904-753-0342,seaviewfarmrockport.com
Balanced Rock Advisors,Finance and Investment,Roslindale,MA,617-971-8323,balancedrockinvestmentadvisors.com/
Del Sur,Catering,Roslindale,MA,,http://www.shareataste.info/
City Fresh Foods,Catering,Roxbury,MA,617-606-7123,cityfresh.com
El Recreo,Beverages,Roxbury,MA,,elrecreoestatecoffee.com
Sugar Bob's Finest Kind,Condiments,Rutland,VT,802-297-7665,https://www.sugarbobsfinestkind.com/
Curio Spice Company,Condiments,Somerville,MA,617-851-3056,http://www.curiospice.com/
Habitus Incorporated,Legal and Consulting,Somerville,MA,610-999-7311,habitusincorporated.come
In Season Food Shop,Catering,Somerville,MA,,https://www.shopinseason.com/
Tasting Counter,Catering,Somerville,MA,617-299-6362,https://tastingcounter.com/
Taza Chocolate,Snacks,Somerville,MA,617-623-0804,https://www.tazachocolate.com/
Tech Networks of Boston,Technology,Boston,MA,617-269-0299,https://techboston.com/
Social(k),Finance and Investment,Springfield,MA,,https://socialk.com/
Goodnow Farms Chocolate,Desert,Sudbury,MA,,https://goodnowfarms.com/
Kitchen Garden Farm,"Fresh Organic Produce, Condiments",Sunderland,MA,413-387-5163,www.kitchengardenfarm.com
Cabot Creamery Co-operative,Catering,Waitsfield,VT,888-792-2268,www.cabotcheese.coop
TRUX Inc.,Architecture and Design,Waltham,MA,617-616-2003,www.truxnow.com
Jay's Wicked,Condiments,Ware,MA,,http://www.jayswicked.com/
Longfellow Tennis & Healthclubs*,Other,Wayland,MA,,https://longfellowhealthclubs.com/
Indelish,Catering,Wellesley,MA,781-244-4712,www.indelish.com
In Source Services,Legal and Consulting,Wellesley,MA,781-235-1490,https://www.insourceservices.com/
"Progressive Investor's Network, LLC",Finance and Investment,Wellesley,MA,781-239-1187,www.pinboston.com
"MOJO Cold Brewed Coffee, Inc. ",Beverages,Wenham,MA,978-270-3838,www.mojocoffees.com
Copper Kettle Bakery,Baking Goods,Westwood,MA,617-448-6400,https://copperkettlebakery.com/
Global Village Cuisine,Catering,White River Junction,VT,,https://globalvillagecuisine.com/
Boston Solar,Green Energy,Woburn,MA,617-390-8792,www.bostonsolar.us/
BoxSave,Storage,Woburn,MA,866-426-9728,www.boxsave.com
NotStarve Kitchen Incubator*,,Woburn,MA,617-943-5715,www.notstarve.com
B-Organic,Storage,Worcester,MA,508-545-4115,b-organicma.com
BeReal Doughs,Desert,Yarmouth Port,MA,508-737-5379,berealdoughs.com/
Sustainable Food Solutions Inc,Snacks,,MA,,https://www.facebook.com/pg/Sustainable-Food-Solutions-206180773488904/posts/?ref=page_internal
